"Timestamp","Studio Art (x1) - Demand (kW)","PV Inverter (x0) - Demand (kW)","Chiller (x0) - Demand (kW)","MDB - AHU (x0) - Demand (kW)","LDB (x0) - Demand (kW)","H1 (x0) - Demand (kW)","LDB (x0) - Temperature (F)","Chiller (x0) - Temperature (F)","H1 (x0) - Temperature (F)","MDB - AHU (x0) - Temperature (F)","PV Inverter (x0) - Temperature (F)","Studio Art (x1) - Temperature (F)"
"2017-04-05 09:53:00",,,,,,,75,75,75,75,75,75
"2017-04-05 10:53:00",,,,,,,79,79,79,79,79,79
"2017-04-05 11:53:00",,,,,,,82,82,82,82,82,82
"2017-04-05 12:53:00",,,,,,,84,84,84,84,84,84
"2017-04-05 13:53:00",,,,,,,85,85,85,85,85,85
"2017-04-05 14:53:00",,,,,,,86,86,86,86,86,86
"2017-04-05 15:53:00",,,,,,,85,85,85,85,85,85
"2017-04-05 16:53:00",,,,,,,83,83,83,83,83,83
"2017-04-05 17:53:00",,,,,,,80,80,80,80,80,80
"2017-04-05 18:53:00",,,,,,,77,77,77,77,77,77
"2017-04-05 19:53:00",,,,,,,73,73,73,73,73,73
"2017-04-05 20:53:00",,,,,,,71,71,71,71,71,71
"2017-04-05 21:53:00",,,,,,,68,68,68,68,68,68
"2017-04-05 22:53:00",,,,,,,65,65,65,65,65,65
"2017-04-05 23:53:00",,,,,,,64,64,64,64,64,64
"2017-04-06 00:53:00",,,,,,,63,63,63,63,63,63
"2017-04-06 01:53:00",,,,,,,61,61,61,61,61,61
"2017-04-06 02:53:00",,,,,,,60,60,60,60,60,60
"2017-04-06 03:53:00",,,,,,,57,57,57,57,57,57
"2017-04-06 04:53:00",,,,,,,58,58,58,58,58,58
"2017-04-06 05:53:00",,,,,,,59,59,59,59,59,59
"2017-04-06 06:53:00",,,,,,,57,57,57,57,57,57
"2017-04-06 07:53:00",,,,,,,62,62,62,62,62,62
"2017-04-06 08:53:00",,,,,,,64,64,64,64,64,64
"2017-04-06 09:53:00",,,,,,,68,68,68,68,68,68
"2017-04-06 10:53:00",,,,,,,74,74,74,74,74,74
"2017-04-06 11:53:00",,,,,,,78,78,78,78,78,78
"2017-04-06 12:53:00",,,,,,,80,80,80,80,80,80
"2017-04-06 13:53:00",,,,,,,82,82,82,82,82,82
"2017-04-06 14:53:00",,,,,,,81,81,81,81,81,81
"2017-04-06 15:53:00",,,,,,,81,81,81,81,81,81
"2017-04-06 16:53:00",,,,,,,78,78,78,78,78,78
"2017-04-06 17:53:00",,,,,,,75,75,75,75,75,75
"2017-04-06 18:53:00",,,,,,,70,70,70,70,70,70
"2017-04-06 19:53:00",,,,,,,66,66,66,66,66,66
"2017-04-06 20:53:00",,,,,,,63,63,63,63,63,63
"2017-04-06 21:53:00",,,,,,,62,62,62,62,62,62
"2017-04-06 22:53:00",,,,,,,58,58,58,58,58,58
"2017-04-06 23:53:00",,,,,,,58,58,58,58,58,58
"2017-04-07 00:53:00",,,,,,,55,55,55,55,55,55
"2017-04-07 01:53:00",,,,,,,55,55,55,55,55,55
"2017-04-07 02:53:00",,,,,,,54,54,54,54,54,54
"2017-04-07 03:53:00",,,,,,,54,54,54,54,54,54
"2017-04-07 04:53:00",,,,,,,53,53,53,53,53,53
"2017-04-07 05:53:00",,,,,,,54,54,54,54,54,54
"2017-04-07 06:53:00",,,,,,,53,53,53,53,53,53
"2017-04-07 07:53:00",,,,,,,55,55,55,55,55,55
"2017-04-07 08:53:00",,,,,,,58,58,58,58,58,58
"2017-04-07 09:53:00",,,,,,,62,62,62,62,62,62
"2017-04-07 10:53:00",,,,,,,68,68,68,68,68,68
"2017-04-07 11:53:00",,,,,,,71,71,71,71,71,71
"2017-04-07 12:53:00",,,,,,,74,74,74,74,74,74
"2017-04-07 13:53:00",,,,,,,76,76,76,76,76,76
"2017-04-07 14:53:00",,,,,,,78,78,78,78,78,78
"2017-04-07 15:53:00",,,,,,,76,76,76,76,76,76
"2017-04-07 16:53:00",,,,,,,74,74,74,74,74,74
"2017-04-07 17:53:00",,,,,,,70,70,70,70,70,70
"2017-04-07 18:53:00",,,,,,,67,67,67,67,67,67
"2017-04-07 19:53:00",,,,,,,64,64,64,64,64,64
"2017-04-07 20:53:00",,,,,,,61,61,61,61,61,61
"2017-04-07 21:53:00",,,,,,,59,59,59,59,59,59
"2017-04-07 22:53:00",,,,,,,58,58,58,58,58,58
"2017-04-07 23:53:00",,,,,,,58,58,58,58,58,58
"2017-04-08 00:53:00",,,,,,,57,57,57,57,57,57
"2017-04-08 01:53:00",,,,,,,57,57,57,57,57,57
"2017-04-08 02:53:00",,,,,,,57,57,57,57,57,57
"2017-04-08 03:53:00",,,,,,,52,52,52,52,52,52
"2017-04-08 04:53:00",,,,,,,52,52,52,52,52,52
"2017-04-08 05:53:00",,,,,,,53,53,53,53,53,53
"2017-04-08 06:53:00",,,,,,,53,53,53,53,53,53
"2017-04-08 07:53:00",,,,,,,54,54,54,54,54,54
"2017-04-08 08:53:00",,,,,,,55,55,55,55,55,55
"2017-04-08 09:53:00",,,,,,,56,56,56,56,56,56
"2017-04-08 10:53:00",,,,,,,59,59,59,59,59,59
"2017-04-08 11:53:00",,,,,,,64,64,64,64,64,64
"2017-04-08 12:53:00",,,,,,,67,67,67,67,67,67
"2017-04-08 13:53:00",,,,,,,70,70,70,70,70,70
"2017-04-08 14:53:00",,,,,,,69,69,69,69,69,69
"2017-04-08 15:53:00",,,,,,,68,68,68,68,68,68
"2017-04-08 16:53:00",,,,,,,65,65,65,65,65,65
"2017-04-08 17:53:00",,,,,,,63,63,63,63,63,63
"2017-04-08 18:53:00",,,,,,,60,60,60,60,60,60
"2017-04-08 19:53:00",,,,,,,58,58,58,58,58,58
"2017-04-08 20:53:00",,,,,,,56,56,56,56,56,56
"2017-04-08 21:53:00",,,,,,,54,54,54,54,54,54
"2017-04-08 22:53:00",,,,,,,51,51,51,51,51,51
"2017-04-08 23:53:00",,,,,,,51,51,51,51,51,51
